,Ts,Tf,T(Energy),T+18
0,2020-07-25 13:11:00,2020-07-25 14:10:00,2020-07-25 13:00:00,2020-07-26 07:00:00
1,2020-07-25 14:11:00,2020-07-25 15:10:00,2020-07-25 14:00:00,2020-07-26 08:00:00
2,2020-07-25 15:11:00,2020-07-25 16:10:00,2020-07-25 15:00:00,2020-07-26 09:00:00
3,2020-07-25 16:11:00,2020-07-25 17:10:00,2020-07-25 16:00:00,2020-07-26 10:00:00
4,2020-07-25 17:11:00,2020-07-25 18:10:00,2020-07-25 17:00:00,2020-07-26 11:00:00
5,2020-07-25 18:11:00,2020-07-25 19:10:00,2020-07-25 18:00:00,2020-07-26 12:00:00
6,2020-07-25 19:11:00,2020-07-25 20:10:00,2020-07-25 19:00:00,2020-07-26 13:00:00
7,2020-07-25 20:11:00,2020-07-25 21:10:00,2020-07-25 20:00:00,2020-07-26 14:00:00
8,2020-07-25 21:11:00,2020-07-25 22:10:00,2020-07-25 21:00:00,2020-07-26 15:00:00
9,2020-07-25 22:11:00,2020-07-25 23:10:00,2020-07-25 22:00:00,2020-07-26 16:00:00
10,2020-07-25 23:11:00,2020-07-26 00:10:00,2020-07-25 23:00:00,2020-07-26 17:00:00
11,2020-07-26 00:11:00,2020-07-26 01:10:00,2020-07-26 00:00:00,2020-07-26 18:00:00
12,2020-07-26 01:11:00,2020-07-26 02:10:00,2020-07-26 01:00:00,2020-07-26 19:00:00
13,2020-07-26 02:11:00,2020-07-26 03:10:00,2020-07-26 02:00:00,2020-07-26 20:00:00
14,2020-07-26 03:11:00,2020-07-26 04:10:00,2020-07-26 03:00:00,2020-07-26 21:00:00
15,2020-07-26 04:11:00,2020-07-26 05:10:00,2020-07-26 04:00:00,2020-07-26 22:00:00
16,2020-07-26 05:11:00,2020-07-26 06:10:00,2020-07-26 05:00:00,2020-07-26 23:00:00
17,2020-07-26 06:11:00,2020-07-26 07:10:00,2020-07-26 06:00:00,2020-07-27 00:00:00
18,2020-07-26 07:11:00,2020-07-26 08:10:00,2020-07-26 07:00:00,2020-07-27 01:00:00
19,2020-07-26 08:11:00,2020-07-26 09:10:00,2020-07-26 08:00:00,2020-07-27 02:00:00
20,2020-07-26 09:11:00,2020-07-26 10:10:00,2020-07-26 09:00:00,2020-07-27 03:00:00
21,2020-07-26 10:11:00,2020-07-26 11:10:00,2020-07-26 10:00:00,2020-07-27 04:00:00
22,2020-07-26 11:11:00,2020-07-26 12:10:00,2020-07-26 11:00:00,2020-07-27 05:00:00
23,2020-07-26 12:11:00,2020-07-26 13:10:00,2020-07-26 12:00:00,2020-07-27 06:00:00
24,2020-07-26 13:11:00,2020-07-26 14:10:00,2020-07-26 13:00:00,2020-07-27 07:00:00
25,2020-07-26 14:11:00,2020-07-26 15:10:00,2020-07-26 14:00:00,2020-07-27 08:00:00
26,2020-07-26 15:11:00,2020-07-26 16:10:00,2020-07-26 15:00:00,2020-07-27 09:00:00
27,2020-07-26 16:11:00,2020-07-26 17:10:00,2020-07-26 16:00:00,2020-07-27 10:00:00
28,2020-07-26 17:11:00,2020-07-26 18:10:00,2020-07-26 17:00:00,2020-07-27 11:00:00
29,2020-07-26 18:11:00,2020-07-26 19:10:00,2020-07-26 18:00:00,2020-07-27 12:00:00
30,2020-07-26 19:11:00,2020-07-26 20:10:00,2020-07-26 19:00:00,2020-07-27 13:00:00
