Name: angerville-2
Location: 48.3219 , 2.0306
Issued: 2020/07/10 12:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 12:00UTC,3.44,294
2020/07/10 15:00UTC,4.40,317
2020/07/10 18:00UTC,4.45,333
2020/07/10 21:00UTC,4.10,341
2020/07/11 00:00UTC,3.35,346
2020/07/11 03:00UTC,2.94,338
2020/07/11 06:00UTC,3.03,346
2020/07/11 09:00UTC,3.34,10
2020/07/11 12:00UTC,3.19,359
2020/07/11 15:00UTC,3.88,1
2020/07/11 18:00UTC,3.44,22
2020/07/11 21:00UTC,3.03,22
2020/07/12 00:00UTC,3.79,34
2020/07/12 03:00UTC,3.38,29
2020/07/12 06:00UTC,4.31,39
2020/07/12 09:00UTC,4.82,45
2020/07/12 12:00UTC,4.64,48
2020/07/12 15:00UTC,4.61,57
2020/07/12 18:00UTC,3.61,60
2020/07/12 21:00UTC,3.78,37
2020/07/13 00:00UTC,3.83,28
2020/07/13 03:00UTC,3.70,25
2020/07/13 06:00UTC,4.24,37
2020/07/13 09:00UTC,4.15,37
2020/07/13 12:00UTC,3.61,46
2020/07/13 15:00UTC,2.57,28
2020/07/13 18:00UTC,2.83,5
2020/07/13 21:00UTC,3.31,4
2020/07/14 00:00UTC,3.07,360
2020/07/14 03:00UTC,2.88,346
2020/07/14 06:00UTC,2.85,345
2020/07/14 09:00UTC,2.22,348
2020/07/14 12:00UTC,2.48,299
2020/07/14 15:00UTC,3.46,300
2020/07/14 18:00UTC,2.46,334
2020/07/14 21:00UTC,2.83,329
2020/07/15 00:00UTC,2.60,313
2020/07/15 03:00UTC,2.25,304
2020/07/15 06:00UTC,2.77,287
2020/07/15 09:00UTC,3.08,272
2020/07/15 12:00UTC,5.12,269
2020/07/15 15:00UTC,4.82,265
2020/07/15 18:00UTC,2.12,273
2020/07/15 21:00UTC,2.54,297
2020/07/16 00:00UTC,2.20,305
2020/07/16 03:00UTC,2.03,293
2020/07/16 06:00UTC,2.33,285
2020/07/16 09:00UTC,2.52,288
2020/07/16 12:00UTC,3.10,306
2020/07/16 15:00UTC,2.58,333
2020/07/16 18:00UTC,2.40,328
2020/07/16 21:00UTC,2.43,335
2020/07/17 00:00UTC,2.69,356
2020/07/17 03:00UTC,2.25,358
2020/07/17 06:00UTC,1.83,357
2020/07/17 09:00UTC,1.99,20
2020/07/17 12:00UTC,2.09,13
2020/07/17 15:00UTC,2.32,3
2020/07/17 18:00UTC,3.01,357
2020/07/17 21:00UTC,2.65,14
2020/07/18 00:00UTC,1.93,28
2020/07/18 03:00UTC,2.05,29
2020/07/18 06:00UTC,2.21,35
2020/07/18 09:00UTC,2.43,56
2020/07/18 12:00UTC,3.03,65
2020/07/18 15:00UTC,2.70,71
2020/07/18 18:00UTC,2.48,97
2020/07/18 21:00UTC,2.65,75
2020/07/19 00:00UTC,2.54,80
2020/07/19 03:00UTC,2.69,75
2020/07/19 06:00UTC,2.61,72
2020/07/19 09:00UTC,3.80,80
2020/07/19 12:00UTC,4.15,96
2020/07/19 15:00UTC,4.07,102
2020/07/19 18:00UTC,2.84,93
2020/07/19 21:00UTC,3.26,84
2020/07/20 00:00UTC,3.14,100
2020/07/20 03:00UTC,2.53,108
2020/07/20 06:00UTC,2.00,164
2020/07/20 09:00UTC,3.26,205
2020/07/20 12:00UTC,4.09,181
