Name: arville
Location: 48.1694 , 2.5539
Issued: 2020/07/14 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/14 00:00UTC,3.43,12
2020/07/14 03:00UTC,1.99,18
2020/07/14 06:00UTC,1.34,355
2020/07/14 09:00UTC,1.23,334
2020/07/14 12:00UTC,2.14,276
2020/07/14 15:00UTC,4.39,282
2020/07/14 18:00UTC,3.44,274
2020/07/14 21:00UTC,2.15,295
2020/07/15 00:00UTC,1.69,347
2020/07/15 03:00UTC,1.85,339
2020/07/15 06:00UTC,1.63,327
2020/07/15 09:00UTC,0.96,292
2020/07/15 12:00UTC,2.13,287
2020/07/15 15:00UTC,2.09,306
2020/07/15 18:00UTC,3.66,314
2020/07/15 21:00UTC,2.63,312
2020/07/16 00:00UTC,2.25,304
2020/07/16 03:00UTC,1.91,309
2020/07/16 06:00UTC,1.67,286
2020/07/16 09:00UTC,2.44,282
2020/07/16 12:00UTC,2.77,294
2020/07/16 15:00UTC,2.55,302
2020/07/16 18:00UTC,2.06,299
2020/07/16 21:00UTC,2.29,320
2020/07/17 00:00UTC,2.32,2
2020/07/17 03:00UTC,1.80,342
2020/07/17 06:00UTC,1.54,319
2020/07/17 09:00UTC,1.96,333
2020/07/17 12:00UTC,3.11,352
2020/07/17 15:00UTC,2.74,356
2020/07/17 18:00UTC,1.59,24
2020/07/17 21:00UTC,0.81,59
2020/07/18 00:00UTC,0.06,360
2020/07/18 03:00UTC,0.50,48
2020/07/18 06:00UTC,1.26,26
2020/07/18 09:00UTC,1.75,32
2020/07/18 12:00UTC,1.78,16
2020/07/18 15:00UTC,1.18,34
2020/07/18 18:00UTC,0.95,120
2020/07/18 21:00UTC,1.97,129
2020/07/19 00:00UTC,1.00,30
2020/07/19 03:00UTC,1.38,51
2020/07/19 06:00UTC,1.30,25
2020/07/19 09:00UTC,1.22,11
2020/07/19 12:00UTC,1.41,332
2020/07/19 15:00UTC,1.71,342
2020/07/19 18:00UTC,2.60,13
2020/07/19 21:00UTC,4.00,26
2020/07/20 00:00UTC,3.13,22
2020/07/20 03:00UTC,2.68,21
2020/07/20 06:00UTC,4.44,22
2020/07/20 09:00UTC,4.63,18
2020/07/20 12:00UTC,4.15,16
2020/07/20 15:00UTC,4.14,15
2020/07/20 18:00UTC,3.91,40
2020/07/20 21:00UTC,4.22,29
2020/07/21 00:00UTC,3.50,30
2020/07/21 03:00UTC,3.07,32
2020/07/21 06:00UTC,3.54,38
2020/07/21 09:00UTC,4.76,43
2020/07/21 12:00UTC,5.11,45
2020/07/21 15:00UTC,5.28,45
2020/07/21 18:00UTC,4.05,42
2020/07/21 21:00UTC,3.87,40
2020/07/22 00:00UTC,4.39,37
2020/07/22 03:00UTC,3.60,30
2020/07/22 06:00UTC,4.52,41
2020/07/22 09:00UTC,5.11,43
2020/07/22 12:00UTC,5.41,35
2020/07/22 15:00UTC,5.69,29
2020/07/22 18:00UTC,4.33,30
2020/07/22 21:00UTC,3.46,30
2020/07/23 00:00UTC,3.23,22
2020/07/23 03:00UTC,2.61,27
2020/07/23 06:00UTC,2.98,28
2020/07/23 09:00UTC,3.28,39
2020/07/23 12:00UTC,3.59,32
2020/07/23 15:00UTC,3.75,36
2020/07/23 18:00UTC,2.71,67
2020/07/23 21:00UTC,2.83,58
2020/07/24 00:00UTC,2.74,45
