Name: boissy-la-riviere
Location: 48.3795 , 2.1776
Issued: 2020/07/24 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/24 18:00UTC,2.08,297
2020/07/24 21:00UTC,1.41,288
2020/07/25 00:00UTC,1.63,259
2020/07/25 03:00UTC,2.22,225
2020/07/25 06:00UTC,3.02,229
2020/07/25 09:00UTC,5.05,232
2020/07/25 12:00UTC,5.54,226
2020/07/25 15:00UTC,6.66,234
2020/07/25 18:00UTC,3.90,234
2020/07/25 21:00UTC,4.29,237
2020/07/26 00:00UTC,4.93,249
2020/07/26 03:00UTC,3.24,246
2020/07/26 06:00UTC,3.39,265
2020/07/26 09:00UTC,4.19,270
2020/07/26 12:00UTC,4.89,260
2020/07/26 15:00UTC,4.91,259
2020/07/26 18:00UTC,3.02,257
2020/07/26 21:00UTC,1.23,254
2020/07/27 00:00UTC,0.77,163
2020/07/27 03:00UTC,2.32,166
2020/07/27 06:00UTC,3.69,188
2020/07/27 09:00UTC,5.34,206
2020/07/27 12:00UTC,6.13,215
2020/07/27 15:00UTC,7.26,234
2020/07/27 18:00UTC,4.99,245
2020/07/27 21:00UTC,5.11,249
2020/07/28 00:00UTC,3.94,264
2020/07/28 03:00UTC,3.31,256
2020/07/28 06:00UTC,3.37,282
2020/07/28 09:00UTC,3.20,266
2020/07/28 12:00UTC,3.55,274
2020/07/28 15:00UTC,3.95,281
2020/07/28 18:00UTC,3.34,302
2020/07/28 21:00UTC,3.27,337
2020/07/29 00:00UTC,1.85,348
2020/07/29 03:00UTC,1.36,297
2020/07/29 06:00UTC,1.74,294
2020/07/29 09:00UTC,2.13,281
2020/07/29 12:00UTC,2.60,290
2020/07/29 15:00UTC,3.20,320
2020/07/29 18:00UTC,1.99,327
2020/07/29 21:00UTC,3.25,21
2020/07/30 00:00UTC,3.07,45
2020/07/30 03:00UTC,2.68,57
2020/07/30 06:00UTC,2.90,66
2020/07/30 09:00UTC,3.31,87
2020/07/30 12:00UTC,3.16,80
2020/07/30 15:00UTC,3.54,77
2020/07/30 18:00UTC,3.66,79
2020/07/30 21:00UTC,3.73,79
2020/07/31 00:00UTC,3.51,78
2020/07/31 03:00UTC,3.02,76
2020/07/31 06:00UTC,3.31,76
2020/07/31 09:00UTC,4.99,82
2020/07/31 12:00UTC,5.14,88
2020/07/31 15:00UTC,3.99,91
2020/07/31 18:00UTC,3.91,68
2020/07/31 21:00UTC,4.32,79
2020/08/01 00:00UTC,3.43,106
2020/08/01 03:00UTC,2.68,129
2020/08/01 06:00UTC,1.91,217
2020/08/01 09:00UTC,2.87,242
2020/08/01 12:00UTC,4.02,272
2020/08/01 15:00UTC,1.91,297
2020/08/01 18:00UTC,2.60,336
2020/08/01 21:00UTC,2.58,333
2020/08/02 00:00UTC,2.66,20
2020/08/02 03:00UTC,1.97,336
2020/08/02 06:00UTC,2.45,332
2020/08/02 09:00UTC,3.52,316
2020/08/02 12:00UTC,2.83,309
2020/08/02 15:00UTC,3.93,294
2020/08/02 18:00UTC,4.78,322
2020/08/02 21:00UTC,4.35,305
2020/08/03 00:00UTC,3.97,302
2020/08/03 03:00UTC,3.39,286
2020/08/03 06:00UTC,4.56,294
2020/08/03 09:00UTC,4.38,307
2020/08/03 12:00UTC,4.73,303
2020/08/03 15:00UTC,5.11,321
2020/08/03 18:00UTC,4.42,323
