Name: guitrancourt
Location: 49.0033 , 1.79
Issued: 2020/07/10 12:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 12:00UTC,4.55,317
2020/07/10 15:00UTC,4.81,325
2020/07/10 18:00UTC,4.73,331
2020/07/10 21:00UTC,3.51,339
2020/07/11 00:00UTC,2.37,316
2020/07/11 03:00UTC,2.16,318
2020/07/11 06:00UTC,1.68,330
2020/07/11 09:00UTC,2.92,345
2020/07/11 12:00UTC,3.44,350
2020/07/11 15:00UTC,4.98,354
2020/07/11 18:00UTC,4.61,8
2020/07/11 21:00UTC,3.72,10
2020/07/12 00:00UTC,2.77,28
2020/07/12 03:00UTC,2.51,33
2020/07/12 06:00UTC,3.17,44
2020/07/12 09:00UTC,4.33,47
2020/07/12 12:00UTC,4.41,44
2020/07/12 15:00UTC,4.73,41
2020/07/12 18:00UTC,4.38,35
2020/07/12 21:00UTC,3.73,34
2020/07/13 00:00UTC,3.74,29
2020/07/13 03:00UTC,3.09,37
2020/07/13 06:00UTC,3.39,41
2020/07/13 09:00UTC,4.12,37
2020/07/13 12:00UTC,3.79,27
2020/07/13 15:00UTC,3.38,360
2020/07/13 18:00UTC,4.24,358
2020/07/13 21:00UTC,3.31,357
2020/07/14 00:00UTC,2.35,347
2020/07/14 03:00UTC,1.94,340
2020/07/14 06:00UTC,1.85,328
2020/07/14 09:00UTC,2.34,311
2020/07/14 12:00UTC,3.13,302
2020/07/14 15:00UTC,4.32,303
2020/07/14 18:00UTC,3.29,303
2020/07/14 21:00UTC,2.47,298
2020/07/15 00:00UTC,2.98,283
2020/07/15 03:00UTC,2.92,268
2020/07/15 06:00UTC,3.35,272
2020/07/15 09:00UTC,4.03,265
2020/07/15 12:00UTC,4.16,268
2020/07/15 15:00UTC,5.32,280
2020/07/15 18:00UTC,3.98,289
2020/07/15 21:00UTC,3.24,291
2020/07/16 00:00UTC,3.15,282
2020/07/16 03:00UTC,2.82,265
2020/07/16 06:00UTC,2.66,276
2020/07/16 09:00UTC,2.58,296
2020/07/16 12:00UTC,3.24,321
2020/07/16 15:00UTC,3.24,335
2020/07/16 18:00UTC,3.27,344
2020/07/16 21:00UTC,2.79,348
2020/07/17 00:00UTC,1.45,347
2020/07/17 03:00UTC,1.37,321
2020/07/17 06:00UTC,1.06,298
2020/07/17 09:00UTC,1.58,315
2020/07/17 12:00UTC,2.34,313
2020/07/17 15:00UTC,3.39,336
2020/07/17 18:00UTC,3.33,353
2020/07/17 21:00UTC,2.85,360
2020/07/18 00:00UTC,1.78,10
2020/07/18 03:00UTC,1.52,360
2020/07/18 06:00UTC,1.17,18
2020/07/18 09:00UTC,0.98,12
2020/07/18 12:00UTC,1.78,31
2020/07/18 15:00UTC,2.10,28
2020/07/18 18:00UTC,3.05,32
2020/07/18 21:00UTC,2.67,50
2020/07/19 00:00UTC,2.17,45
2020/07/19 03:00UTC,1.74,59
2020/07/19 06:00UTC,1.67,65
2020/07/19 09:00UTC,2.91,86
2020/07/19 12:00UTC,3.47,96
2020/07/19 15:00UTC,3.71,116
2020/07/19 18:00UTC,3.15,118
2020/07/19 21:00UTC,2.79,96
2020/07/20 00:00UTC,2.73,110
2020/07/20 03:00UTC,2.39,110
2020/07/20 06:00UTC,2.10,128
2020/07/20 09:00UTC,2.66,171
2020/07/20 12:00UTC,4.43,186
