Name: lieusaint
Location: 48.6192 , 2.5492
Issued: 2020/07/20 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/20 00:00UTC,4.17,7
2020/07/20 03:00UTC,3.56,21
2020/07/20 06:00UTC,4.30,27
2020/07/20 09:00UTC,4.77,26
2020/07/20 12:00UTC,4.43,29
2020/07/20 15:00UTC,4.55,32
2020/07/20 18:00UTC,4.58,35
2020/07/20 21:00UTC,4.72,24
2020/07/21 00:00UTC,4.38,31
2020/07/21 03:00UTC,3.74,28
2020/07/21 06:00UTC,4.26,33
2020/07/21 09:00UTC,4.39,36
2020/07/21 12:00UTC,4.32,37
2020/07/21 15:00UTC,3.98,41
2020/07/21 18:00UTC,4.38,40
2020/07/21 21:00UTC,3.94,30
2020/07/22 00:00UTC,4.63,30
2020/07/22 03:00UTC,3.38,31
2020/07/22 06:00UTC,3.84,33
2020/07/22 09:00UTC,4.30,32
2020/07/22 12:00UTC,4.14,29
2020/07/22 15:00UTC,4.24,31
2020/07/22 18:00UTC,3.46,44
2020/07/22 21:00UTC,3.26,35
2020/07/23 00:00UTC,3.35,37
2020/07/23 03:00UTC,1.98,47
2020/07/23 06:00UTC,1.67,33
2020/07/23 09:00UTC,2.27,14
2020/07/23 12:00UTC,2.21,4
2020/07/23 15:00UTC,1.99,334
2020/07/23 18:00UTC,2.96,312
2020/07/23 21:00UTC,2.77,343
2020/07/24 00:00UTC,1.70,337
2020/07/24 03:00UTC,2.19,285
2020/07/24 06:00UTC,2.68,284
2020/07/24 09:00UTC,2.87,301
2020/07/24 12:00UTC,3.19,285
2020/07/24 15:00UTC,3.86,307
2020/07/24 18:00UTC,2.95,327
2020/07/24 21:00UTC,1.83,22
2020/07/25 00:00UTC,1.18,63
2020/07/25 03:00UTC,0.77,34
2020/07/25 06:00UTC,0.41,101
2020/07/25 09:00UTC,1.73,229
2020/07/25 12:00UTC,2.81,257
2020/07/25 15:00UTC,3.11,264
2020/07/25 18:00UTC,3.24,266
2020/07/25 21:00UTC,2.63,278
2020/07/26 00:00UTC,1.71,309
2020/07/26 03:00UTC,0.57,156
2020/07/26 06:00UTC,2.31,214
2020/07/26 09:00UTC,4.62,244
2020/07/26 12:00UTC,5.79,262
2020/07/26 15:00UTC,5.81,275
2020/07/26 18:00UTC,3.31,276
2020/07/26 21:00UTC,4.07,314
2020/07/27 00:00UTC,3.01,294
2020/07/27 03:00UTC,2.93,271
2020/07/27 06:00UTC,3.16,268
2020/07/27 09:00UTC,3.21,279
2020/07/27 12:00UTC,3.54,282
2020/07/27 15:00UTC,4.12,281
2020/07/27 18:00UTC,2.72,285
2020/07/27 21:00UTC,0.08,29
2020/07/28 00:00UTC,1.82,187
2020/07/28 03:00UTC,2.42,227
2020/07/28 06:00UTC,2.60,245
2020/07/28 09:00UTC,3.49,264
2020/07/28 12:00UTC,2.84,267
2020/07/28 15:00UTC,3.47,277
2020/07/28 18:00UTC,2.55,311
2020/07/28 21:00UTC,1.83,316
2020/07/29 00:00UTC,1.16,8
2020/07/29 03:00UTC,0.69,171
2020/07/29 06:00UTC,1.13,205
2020/07/29 09:00UTC,3.15,235
2020/07/29 12:00UTC,3.67,256
2020/07/29 15:00UTC,4.14,291
2020/07/29 18:00UTC,3.98,351
2020/07/29 21:00UTC,2.43,3
2020/07/30 00:00UTC,1.10,43
