Name: lvs-pussay
Location: 48.3394 , 1.9727
Issued: 2020/07/28 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/28 18:00UTC,4.05,313
2020/07/28 21:00UTC,3.56,335
2020/07/29 00:00UTC,2.98,341
2020/07/29 03:00UTC,1.71,347
2020/07/29 06:00UTC,1.28,355
2020/07/29 09:00UTC,0.50,45
2020/07/29 12:00UTC,1.23,303
2020/07/29 15:00UTC,1.28,308
2020/07/29 18:00UTC,1.94,339
2020/07/29 21:00UTC,2.73,14
2020/07/30 00:00UTC,2.66,51
2020/07/30 03:00UTC,2.52,62
2020/07/30 06:00UTC,2.88,83
2020/07/30 09:00UTC,4.25,85
2020/07/30 12:00UTC,4.73,88
2020/07/30 15:00UTC,4.46,85
2020/07/30 18:00UTC,3.96,81
2020/07/30 21:00UTC,4.25,78
2020/07/31 00:00UTC,3.66,83
2020/07/31 03:00UTC,3.67,91
2020/07/31 06:00UTC,3.94,102
2020/07/31 09:00UTC,3.95,131
2020/07/31 12:00UTC,4.36,173
2020/07/31 15:00UTC,4.77,227
2020/07/31 18:00UTC,3.71,258
2020/07/31 21:00UTC,1.81,210
2020/08/01 00:00UTC,1.76,321
2020/08/01 03:00UTC,3.12,317
2020/08/01 06:00UTC,3.93,311
2020/08/01 09:00UTC,3.49,303
2020/08/01 12:00UTC,3.91,295
2020/08/01 15:00UTC,3.68,301
2020/08/01 18:00UTC,4.34,329
2020/08/01 21:00UTC,4.66,342
2020/08/02 00:00UTC,3.16,338
2020/08/02 03:00UTC,2.72,336
2020/08/02 06:00UTC,2.35,334
2020/08/02 09:00UTC,2.23,329
2020/08/02 12:00UTC,3.17,317
2020/08/02 15:00UTC,3.30,325
2020/08/02 18:00UTC,3.23,337
2020/08/02 21:00UTC,3.99,357
2020/08/03 00:00UTC,2.65,340
2020/08/03 03:00UTC,2.12,343
2020/08/03 06:00UTC,2.07,324
2020/08/03 09:00UTC,1.59,262
2020/08/03 12:00UTC,4.36,269
2020/08/03 15:00UTC,3.08,270
2020/08/03 18:00UTC,2.93,255
2020/08/03 21:00UTC,1.79,251
2020/08/04 00:00UTC,1.17,225
2020/08/04 03:00UTC,0.59,233
2020/08/04 06:00UTC,0.81,236
2020/08/04 09:00UTC,1.85,231
2020/08/04 12:00UTC,3.04,261
2020/08/04 15:00UTC,2.69,269
2020/08/04 18:00UTC,4.01,295
2020/08/04 21:00UTC,3.09,303
2020/08/05 00:00UTC,1.72,312
2020/08/05 03:00UTC,1.32,265
2020/08/05 06:00UTC,2.14,237
2020/08/05 09:00UTC,4.30,234
2020/08/05 12:00UTC,4.60,246
2020/08/05 15:00UTC,4.71,253
2020/08/05 18:00UTC,2.89,264
2020/08/05 21:00UTC,1.97,332
2020/08/06 00:00UTC,1.51,337
2020/08/06 03:00UTC,1.42,309
2020/08/06 06:00UTC,2.06,308
2020/08/06 09:00UTC,2.02,296
2020/08/06 12:00UTC,2.84,283
2020/08/06 15:00UTC,3.74,325
2020/08/06 18:00UTC,3.70,333
2020/08/06 21:00UTC,3.44,357
2020/08/07 00:00UTC,2.59,4
2020/08/07 03:00UTC,1.99,4
2020/08/07 06:00UTC,2.16,2
2020/08/07 09:00UTC,1.78,357
2020/08/07 12:00UTC,2.56,340
2020/08/07 15:00UTC,2.76,353
2020/08/07 18:00UTC,3.20,10
