Name: parc-du-gatinais
Location: 48.1399 , 2.5616
Issued: 2020/07/24 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/24 18:00UTC,2.01,298
2020/07/24 21:00UTC,2.06,307
2020/07/25 00:00UTC,1.36,235
2020/07/25 03:00UTC,2.27,223
2020/07/25 06:00UTC,2.76,220
2020/07/25 09:00UTC,4.63,230
2020/07/25 12:00UTC,5.48,231
2020/07/25 15:00UTC,6.13,232
2020/07/25 18:00UTC,4.32,234
2020/07/25 21:00UTC,4.02,242
2020/07/26 00:00UTC,4.52,244
2020/07/26 03:00UTC,3.30,237
2020/07/26 06:00UTC,3.35,252
2020/07/26 09:00UTC,4.49,268
2020/07/26 12:00UTC,5.01,271
2020/07/26 15:00UTC,4.76,268
2020/07/26 18:00UTC,3.11,265
2020/07/26 21:00UTC,1.01,269
2020/07/27 00:00UTC,1.97,160
2020/07/27 03:00UTC,2.42,169
2020/07/27 06:00UTC,3.56,184
2020/07/27 09:00UTC,4.89,202
2020/07/27 12:00UTC,5.62,212
2020/07/27 15:00UTC,7.07,236
2020/07/27 18:00UTC,4.02,236
2020/07/27 21:00UTC,4.34,266
2020/07/28 00:00UTC,3.54,265
2020/07/28 03:00UTC,3.06,252
2020/07/28 06:00UTC,3.41,276
2020/07/28 09:00UTC,2.67,268
2020/07/28 12:00UTC,3.57,259
2020/07/28 15:00UTC,4.15,272
2020/07/28 18:00UTC,2.86,294
2020/07/28 21:00UTC,2.57,315
2020/07/29 00:00UTC,1.77,22
2020/07/29 03:00UTC,0.33,28
2020/07/29 06:00UTC,0.78,246
2020/07/29 09:00UTC,1.49,276
2020/07/29 12:00UTC,2.54,289
2020/07/29 15:00UTC,2.63,317
2020/07/29 18:00UTC,2.02,343
2020/07/29 21:00UTC,3.45,35
2020/07/30 00:00UTC,2.91,45
2020/07/30 03:00UTC,2.53,50
2020/07/30 06:00UTC,2.71,62
2020/07/30 09:00UTC,3.51,83
2020/07/30 12:00UTC,3.50,74
2020/07/30 15:00UTC,3.92,72
2020/07/30 18:00UTC,4.00,66
2020/07/30 21:00UTC,4.13,71
2020/07/31 00:00UTC,3.46,76
2020/07/31 03:00UTC,3.05,76
2020/07/31 06:00UTC,3.30,72
2020/07/31 09:00UTC,4.57,81
2020/07/31 12:00UTC,4.42,83
2020/07/31 15:00UTC,3.53,79
2020/07/31 18:00UTC,4.04,56
2020/07/31 21:00UTC,4.19,77
2020/08/01 00:00UTC,3.23,104
2020/08/01 03:00UTC,2.63,145
2020/08/01 06:00UTC,1.82,241
2020/08/01 09:00UTC,3.04,234
2020/08/01 12:00UTC,4.18,251
2020/08/01 15:00UTC,2.87,297
2020/08/01 18:00UTC,2.75,327
2020/08/01 21:00UTC,0.48,1
2020/08/02 00:00UTC,2.33,41
2020/08/02 03:00UTC,1.63,21
2020/08/02 06:00UTC,1.74,349
2020/08/02 09:00UTC,3.01,323
2020/08/02 12:00UTC,2.71,320
2020/08/02 15:00UTC,1.16,273
2020/08/02 18:00UTC,4.03,318
2020/08/02 21:00UTC,4.37,308
2020/08/03 00:00UTC,4.04,300
2020/08/03 03:00UTC,3.26,284
2020/08/03 06:00UTC,4.21,284
2020/08/03 09:00UTC,4.51,297
2020/08/03 12:00UTC,4.86,295
2020/08/03 15:00UTC,4.80,323
2020/08/03 18:00UTC,3.23,346
