Name: arville-b
Location: 48.1694 , 2.5539
Issued: 2020/07/20 12:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/20 12:00UTC,4.59,9
2020/07/20 15:00UTC,4.16,14
2020/07/20 18:00UTC,4.45,13
2020/07/20 21:00UTC,4.46,20
2020/07/21 00:00UTC,4.65,25
2020/07/21 03:00UTC,4.12,27
2020/07/21 06:00UTC,3.76,29
2020/07/21 09:00UTC,3.23,30
2020/07/21 12:00UTC,2.95,18
2020/07/21 15:00UTC,2.51,15
2020/07/21 18:00UTC,2.59,11
2020/07/21 21:00UTC,3.09,21
2020/07/22 00:00UTC,4.04,34
2020/07/22 03:00UTC,3.84,38
2020/07/22 06:00UTC,2.89,35
2020/07/22 09:00UTC,2.97,35
2020/07/22 12:00UTC,2.49,18
2020/07/22 15:00UTC,2.79,2
2020/07/22 18:00UTC,2.38,359
2020/07/22 21:00UTC,3.70,347
2020/07/23 00:00UTC,3.11,33
2020/07/23 03:00UTC,2.33,35
2020/07/23 06:00UTC,1.94,1
2020/07/23 09:00UTC,1.71,358
2020/07/23 12:00UTC,1.76,339
2020/07/23 15:00UTC,2.41,330
2020/07/23 18:00UTC,4.14,323
2020/07/23 21:00UTC,4.65,356
2020/07/24 00:00UTC,4.29,357
2020/07/24 03:00UTC,3.12,2
2020/07/24 06:00UTC,2.21,356
2020/07/24 09:00UTC,1.70,341
2020/07/24 12:00UTC,1.67,334
2020/07/24 15:00UTC,1.01,344
2020/07/24 18:00UTC,4.00,322
2020/07/24 21:00UTC,3.25,5
2020/07/25 00:00UTC,3.25,15
2020/07/25 03:00UTC,2.64,1
2020/07/25 06:00UTC,1.83,351
2020/07/25 09:00UTC,1.81,326
2020/07/25 12:00UTC,3.70,297
2020/07/25 15:00UTC,5.53,306
2020/07/25 18:00UTC,2.53,322
2020/07/25 21:00UTC,2.84,334
2020/07/26 00:00UTC,3.53,357
2020/07/26 03:00UTC,2.15,354
2020/07/26 06:00UTC,0.71,34
2020/07/26 09:00UTC,1.09,227
2020/07/26 12:00UTC,3.26,232
2020/07/26 15:00UTC,4.52,252
2020/07/26 18:00UTC,4.26,238
2020/07/26 21:00UTC,3.20,262
2020/07/27 00:00UTC,4.25,260
2020/07/27 03:00UTC,3.59,253
2020/07/27 06:00UTC,4.12,241
2020/07/27 09:00UTC,6.65,266
2020/07/27 12:00UTC,5.58,260
2020/07/27 15:00UTC,7.29,283
2020/07/27 18:00UTC,5.53,305
2020/07/27 21:00UTC,4.27,305
2020/07/28 00:00UTC,3.78,287
