Name: boissy-la-riviere-b
Location: 48.3795 , 2.1776
Issued: 2020/07/10 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 06:00UTC,3.09,270
2020/07/10 09:00UTC,5.41,292
2020/07/10 12:00UTC,5.30,317
2020/07/10 15:00UTC,5.13,333
2020/07/10 18:00UTC,4.54,351
2020/07/10 21:00UTC,4.55,353
2020/07/11 00:00UTC,3.53,355
2020/07/11 03:00UTC,2.91,352
2020/07/11 06:00UTC,2.16,360
2020/07/11 09:00UTC,2.59,12
2020/07/11 15:00UTC,2.54,15
2020/07/11 18:00UTC,4.87,4
2020/07/12 06:00UTC,3.47,20
2020/07/12 09:00UTC,3.64,26
2020/07/12 12:00UTC,3.26,23
2020/07/13 00:00UTC,4.69,28
2020/07/13 06:00UTC,2.89,18
2020/07/13 12:00UTC,2.08,1
2020/07/14 00:00UTC,4.23,341
2020/07/14 15:00UTC,3.17,264
2020/07/14 21:00UTC,3.74,330
2020/07/15 03:00UTC,2.59,312
2020/07/15 06:00UTC,1.76,306
2020/07/15 09:00UTC,1.64,294
2020/07/15 15:00UTC,3.84,337
2020/07/15 21:00UTC,4.00,29
