Name: guitrancourt-b
Location: 49.0033 , 1.79
Issued: 2020/07/20 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/20 00:00UTC,3.42,342
2020/07/20 03:00UTC,3.33,4
2020/07/20 06:00UTC,4.12,18
2020/07/20 09:00UTC,4.11,22
2020/07/20 12:00UTC,3.55,27
2020/07/20 18:00UTC,4.00,27
2020/07/20 21:00UTC,5.48,18
2020/07/21 00:00UTC,4.58,25
2020/07/21 03:00UTC,3.61,29
2020/07/21 06:00UTC,2.89,27
2020/07/21 09:00UTC,3.04,34
2020/07/21 12:00UTC,2.88,39
2020/07/21 15:00UTC,3.06,36
2020/07/21 18:00UTC,2.65,38
2020/07/21 21:00UTC,4.82,27
2020/07/22 00:00UTC,4.53,35
2020/07/22 03:00UTC,3.47,45
2020/07/22 06:00UTC,2.13,38
2020/07/22 09:00UTC,2.14,39
2020/07/22 12:00UTC,1.84,23
2020/07/22 15:00UTC,1.59,359
2020/07/22 18:00UTC,1.90,317
2020/07/22 21:00UTC,4.58,350
2020/07/23 00:00UTC,3.20,341
2020/07/23 03:00UTC,2.40,335
2020/07/23 06:00UTC,1.66,328
2020/07/23 09:00UTC,1.41,340
2020/07/23 12:00UTC,1.71,330
2020/07/23 15:00UTC,2.16,308
2020/07/23 18:00UTC,4.80,319
2020/07/23 21:00UTC,5.18,336
2020/07/24 00:00UTC,3.55,333
2020/07/24 03:00UTC,2.68,310
2020/07/24 06:00UTC,2.50,298
2020/07/24 09:00UTC,2.87,307
2020/07/24 12:00UTC,3.30,293
2020/07/24 15:00UTC,5.99,312
2020/07/24 18:00UTC,5.22,345
2020/07/24 21:00UTC,3.84,341
2020/07/25 00:00UTC,3.15,332
2020/07/25 03:00UTC,2.03,319
2020/07/25 06:00UTC,1.31,294
2020/07/25 09:00UTC,1.70,298
2020/07/25 12:00UTC,2.21,289
2020/07/25 15:00UTC,2.10,284
2020/07/25 18:00UTC,6.20,324
2020/07/25 21:00UTC,3.98,323
2020/07/26 00:00UTC,2.84,310
2020/07/26 03:00UTC,1.70,294
2020/07/26 06:00UTC,1.07,264
2020/07/26 09:00UTC,1.42,249
2020/07/26 12:00UTC,1.75,233
2020/07/26 15:00UTC,4.00,279
2020/07/26 18:00UTC,5.34,334
2020/07/26 21:00UTC,3.54,338
2020/07/27 00:00UTC,2.76,317
2020/07/27 03:00UTC,1.97,292
2020/07/27 06:00UTC,2.32,270
2020/07/27 09:00UTC,2.62,258
2020/07/27 12:00UTC,4.94,269
