Name: lieusaint-b
Location: 48.6192 , 2.5492
Issued: 2020/07/26 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/26 18:00UTC,2.70,296
2020/07/26 21:00UTC,0.30,7
2020/07/27 00:00UTC,1.75,148
2020/07/27 03:00UTC,2.90,166
2020/07/27 06:00UTC,3.32,179
2020/07/27 09:00UTC,4.15,195
2020/07/27 12:00UTC,4.29,205
2020/07/27 15:00UTC,4.86,215
2020/07/27 18:00UTC,6.60,229
2020/07/27 21:00UTC,6.01,246
2020/07/28 00:00UTC,5.73,243
2020/07/28 03:00UTC,4.86,252
2020/07/28 06:00UTC,3.63,281
2020/07/28 09:00UTC,3.14,271
2020/07/28 12:00UTC,2.93,248
2020/07/28 15:00UTC,6.51,277
2020/07/28 18:00UTC,6.04,313
2020/07/28 21:00UTC,5.22,317
2020/07/29 00:00UTC,3.72,304
2020/07/29 03:00UTC,3.04,286
2020/07/29 06:00UTC,2.52,275
2020/07/29 09:00UTC,2.66,289
2020/07/29 12:00UTC,2.12,279
2020/07/29 15:00UTC,2.75,297
2020/07/29 18:00UTC,4.72,347
2020/07/29 21:00UTC,3.63,7
2020/07/30 00:00UTC,3.17,18
2020/07/30 03:00UTC,2.63,24
2020/07/30 06:00UTC,2.15,34
2020/07/30 09:00UTC,2.17,59
2020/07/30 12:00UTC,1.95,58
2020/07/30 18:00UTC,3.14,46
2020/07/30 21:00UTC,3.17,55
2020/07/31 00:00UTC,3.51,71
2020/07/31 03:00UTC,3.17,73
2020/07/31 06:00UTC,2.64,77
2020/07/31 09:00UTC,2.48,97
2020/07/31 12:00UTC,1.94,115
2020/07/31 15:00UTC,1.62,117
2020/07/31 18:00UTC,2.50,112
2020/07/31 21:00UTC,3.14,124
2020/08/01 00:00UTC,4.41,286
2020/08/01 03:00UTC,5.13,303
2020/08/01 06:00UTC,4.69,293
2020/08/01 09:00UTC,3.75,288
2020/08/01 12:00UTC,3.22,291
2020/08/01 15:00UTC,3.18,299
2020/08/01 18:00UTC,6.23,323
