Name: lvs-pussay-b
Location: 48.3394 , 1.9727
Issued: 2020/07/19 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/19 18:00UTC,2.27,11
2020/07/19 21:00UTC,3.63,360
2020/07/20 00:00UTC,4.95,358
2020/07/20 03:00UTC,4.08,5
2020/07/20 06:00UTC,4.04,17
2020/07/20 09:00UTC,4.11,22
2020/07/20 12:00UTC,3.82,24
2020/07/20 15:00UTC,3.89,18
2020/07/20 18:00UTC,4.23,13
2020/07/20 21:00UTC,4.79,14
2020/07/21 09:00UTC,3.50,28
2020/07/21 15:00UTC,3.26,13
2020/07/21 21:00UTC,4.50,15
2020/07/22 00:00UTC,4.51,28
2020/07/22 03:00UTC,3.73,30
2020/07/22 15:00UTC,3.07,2
2020/07/22 21:00UTC,1.41,5
2020/07/23 00:00UTC,3.56,357
2020/07/23 12:00UTC,1.17,1
2020/07/24 00:00UTC,4.74,357
2020/07/24 03:00UTC,3.80,357
2020/07/24 06:00UTC,3.08,358
2020/07/24 18:00UTC,3.20,321
2020/07/25 06:00UTC,2.67,4
2020/07/25 09:00UTC,2.13,358
2020/07/25 18:00UTC,1.70,301
