Name: parc-du-gatinais-b
Location: 48.1399 , 2.5616
Issued: 2020/07/13 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/13 18:00UTC,4.11,339
2020/07/13 21:00UTC,2.64,350
2020/07/14 00:00UTC,3.82,356
2020/07/14 03:00UTC,2.67,2
2020/07/14 06:00UTC,1.08,337
2020/07/14 09:00UTC,1.62,311
2020/07/14 12:00UTC,2.24,270
2020/07/14 15:00UTC,2.68,252
2020/07/14 18:00UTC,3.61,293
2020/07/14 21:00UTC,2.56,317
2020/07/15 00:00UTC,2.88,323
2020/07/15 03:00UTC,3.42,310
2020/07/15 06:00UTC,3.15,287
2020/07/15 09:00UTC,3.78,273
2020/07/15 12:00UTC,3.46,259
2020/07/15 15:00UTC,5.24,268
2020/07/15 18:00UTC,5.07,310
2020/07/15 21:00UTC,3.70,314
2020/07/16 00:00UTC,2.93,305
2020/07/16 03:00UTC,2.80,285
2020/07/16 06:00UTC,2.59,275
2020/07/16 09:00UTC,3.13,285
2020/07/16 12:00UTC,3.05,299
2020/07/16 15:00UTC,2.72,324
2020/07/16 18:00UTC,3.41,347
2020/07/16 21:00UTC,3.80,352
2020/07/17 00:00UTC,2.93,353
2020/07/17 03:00UTC,2.57,358
2020/07/17 06:00UTC,1.65,2
2020/07/17 09:00UTC,1.81,2
2020/07/17 12:00UTC,1.77,4
2020/07/17 15:00UTC,1.91,358
2020/07/17 18:00UTC,3.38,40
2020/07/17 21:00UTC,2.11,40
2020/07/18 00:00UTC,2.98,13
2020/07/18 03:00UTC,2.68,6
2020/07/18 06:00UTC,1.65,7
2020/07/18 09:00UTC,1.20,21
2020/07/18 12:00UTC,1.48,20
2020/07/18 15:00UTC,2.50,26
2020/07/18 18:00UTC,0.83,51
2020/07/18 21:00UTC,2.41,71
2020/07/19 00:00UTC,2.41,23
2020/07/19 03:00UTC,2.59,1
2020/07/19 06:00UTC,1.70,356
2020/07/19 09:00UTC,1.08,12
2020/07/19 12:00UTC,1.38,331
2020/07/19 15:00UTC,4.09,318
2020/07/19 18:00UTC,3.63,314
