
Stonks
---------------
TIME,ACTUAL,FORECAST,SALE,BUY,PENALTY,WASTED,CIH
22-Jul-2020 00:00UTC,53000,0,0,0,0,530000,10000000
22-Jul-2020 01:00UTC,54750,0,0,0,0,547500,10000000
22-Jul-2020 02:00UTC,47000,0,0,0,0,470000,10000000
22-Jul-2020 03:00UTC,40500,0,0,0,0,405000,10000000
22-Jul-2020 04:00UTC,36000,0,0,0,0,360000,10000000
22-Jul-2020 05:00UTC,23000,0,0,0,0,230000,10000000
22-Jul-2020 06:00UTC,14750,0,0,0,0,147500,10000000
22-Jul-2020 07:00UTC,10250,0,0,0,0,102500,10000000
22-Jul-2020 08:00UTC,6750,0,0,0,0,67500,10000000
22-Jul-2020 09:00UTC,8250,0,0,0,0,82500,10000000
22-Jul-2020 10:00UTC,9500,0,0,0,0,95000,10000000
22-Jul-2020 11:00UTC,8000,0,0,0,0,80000,10000000
22-Jul-2020 12:00UTC,6750,0,0,0,0,67500,10000000
22-Jul-2020 13:00UTC,7000,0,0,0,0,70000,10000000
22-Jul-2020 14:00UTC,8750,0,0,0,0,87500,10000000
22-Jul-2020 15:00UTC,10500,0,0,0,0,105000,10000000
22-Jul-2020 16:00UTC,8750,0,0,0,0,87500,10000000
22-Jul-2020 17:00UTC,8750,11820,87500,61400,0,0,10026100
22-Jul-2020 18:00UTC,10000,5000,50000,0,0,50000,10076100
22-Jul-2020 19:00UTC,13000,5000,50000,0,0,80000,10126100
22-Jul-2020 20:00UTC,20250,5000,50000,0,0,152500,10176100
22-Jul-2020 21:00UTC,32500,5000,50000,0,0,275000,10226100
22-Jul-2020 22:00UTC,22250,6099,60990,0,0,161510,10287090
22-Jul-2020 23:00UTC,18250,11319,113190,0,0,69310,10400280
23-Jul-2020 00:00UTC,21750,9695,96950,0,0,120550,10497230
23-Jul-2020 01:00UTC,23750,8828,88280,0,0,149220,10585510
23-Jul-2020 02:00UTC,23500,14191,141910,0,0,93090,10727420
23-Jul-2020 03:00UTC,16500,12740,127400,0,0,37600,10854820
23-Jul-2020 04:00UTC,10000,10829,100000,16580,0,0,10938240
23-Jul-2020 05:00UTC,5750,5858,57500,2160,0,0,10993580
23-Jul-2020 06:00UTC,5250,5000,50000,0,0,2500,11043580
23-Jul-2020 07:00UTC,6000,5000,50000,0,0,10000,11093580
23-Jul-2020 08:00UTC,6000,5000,50000,0,0,10000,11143580
23-Jul-2020 09:00UTC,6000,5000,50000,0,0,10000,11193580
23-Jul-2020 10:00UTC,6000,5000,50000,0,0,10000,11243580
23-Jul-2020 11:00UTC,6000,5000,50000,0,0,10000,11293580
23-Jul-2020 12:00UTC,5500,5000,50000,0,0,5000,11343580
23-Jul-2020 13:00UTC,5000,5000,50000,0,0,0,11393580
